fpr,tpr,threshold
0.0021711027289309176,0.7094594594594594,0.9765575804714206
0.0021711027289309176,0.7108108108108108,0.9764646214872452
0.0021781862614886046,0.7108108108108108,0.9761427150556007
0.0021781862614886046,0.7121621621621622,0.9761228772237729
0.0021958950928828206,0.7121621621621622,0.9758491693198953
0.0021958950928828206,0.7135135135135136,0.9757397303312542
0.00223839628822894,0.7135135135135136,0.9754957797980747
0.00223839628822894,0.7148648648648649,0.9754724758961091
0.0022773557172962155,0.7148648648648649,0.9751860966906618
0.0022773557172962155,0.7162162162162162,0.9750212157327895
0.002309231613805805,0.7162162162162162,0.9748356061408407
0.002309231613805805,0.7175675675675676,0.9748010415086371
0.0023658998742672973,0.7175675675675676,0.9740591442891111
0.0023658998742672973,0.7189189189189189,0.9739851232231793
0.002387150471940357,0.7189189189189189,0.9736106900118223
0.002387150471940357,0.7216216216216216,0.9735664276322241
0.0023977757707768863,0.7216216216216216,0.9734461405321795
0.0023977757707768863,0.722972972972973,0.9734283778282841
0.0025075705254210276,0.722972972972973,0.9721212214791201
0.0025075705254210276,0.7243243243243244,0.9721084763535379
0.002557155253324833,0.7243243243243244,0.971407505769352
0.002557155253324833,0.7256756756756757,0.9713486302416063
0.002613823513786325,0.7256756756756757,0.9702211734069184
0.002613823513786325,0.727027027027027,0.9701935368951666
0.002624448812622855,0.727027027027027,0.9700173927065062
0.002624448812622855,0.7283783783783784,0.9700118479038423
0.0026598664754112875,0.7283783783783784,0.9693578631637566
0.0026598664754112875,0.7297297297297297,0.9691038977332772
0.002666950007968974,0.7297297297297297,0.9690285178995238
0.002666950007968974,0.731081081081081,0.9689942004360029
0.0026704917742478174,0.731081081081081,0.9689575925673929
0.0026704917742478174,0.7337837837837838,0.9688321555512864
0.002681117073084347,0.7337837837837838,0.9687534051634074
0.002681117073084347,0.7378378378378379,0.9685061015022935
0.002688200605642034,0.7378378378378379,0.9683733900306039
0.002688200605642034,0.7405405405405405,0.9682895888684611
0.002691742371920877,0.7405405405405405,0.9682559090498605
0.002691742371920877,0.7418918918918919,0.9682485600747787
0.0026952841381997204,0.7418918918918919,0.9682439026479643
0.0026952841381997204,0.7432432432432432,0.9681726022531704
0.0027129929695939364,0.7432432432432432,0.9679240701973371
0.0027129929695939364,0.7472972972972973,0.9677673787104645
0.002720076502151623,0.7472972972972973,0.9676796232609246
0.002720076502151623,0.7486486486486487,0.9676559241482564
0.0027377853335458393,0.7486486486486487,0.9672521598109116
0.0027377853335458393,0.7513513513513513,0.9669801172446408
0.002755494164940056,0.7513513513513513,0.9665970989696933
0.002755494164940056,0.7527027027027027,0.9664383200688398
0.002759035931218899,0.7527027027027027,0.966406510968611
0.002759035931218899,0.754054054054054,0.9663412310471403
0.002769661230055429,0.754054054054054,0.9662002129036918
0.002769661230055429,0.7554054054054054,0.9661353928346935
0.002773202996334272,0.7554054054054054,0.9658631400213626
